return probability of panel,panel member 1,panel member 2,panel member 3,panel member 4,panel member 5,panel member 6,panel member 7,panel member 8,panel member 9,panel member 10,panel member 11,panel member 12,panel member 13,panel member 14,panel member 15,panel member 16,panel member 17,panel member 18,panel member 19,panel member 20,panel member 21,panel member 22,panel member 23,panel member 24,panel member 25,panel member 26,panel member 27,panel member 28,panel member 29,panel member 30
0.008666493232655921,43,103,169,210,234,278,298,300,347,381,398,403,456,460,470,488,514,515,524,565,568,615,624,684,698,742,823,883,978,984
0.010831935248956197,9,19,85,87,130,136,137,162,184,291,303,304,319,323,501,511,527,553,559,562,696,697,806,825,914,948,949,953,970,996
0.0005372947406691095,19,34,39,85,103,130,186,210,291,303,304,319,347,401,403,537,559,562,564,566,697,744,806,853,863,877,939,948,949,953
0.001120925626001802,8,46,49,98,135,146,160,169,219,393,404,446,466,575,621,622,623,631,659,667,677,720,736,739,740,747,761,782,785,895
0.010650800983360537,12,19,100,135,146,160,186,223,303,304,319,337,340,349,393,482,496,559,623,643,667,677,686,694,724,802,806,829,913,992
0.0012734742154596427,5,43,110,117,120,136,153,166,248,409,456,457,467,501,615,624,684,713,715,730,742,750,775,791,795,798,823,842,919,925
0.003985657216714599,119,170,190,236,278,291,298,324,381,401,460,537,598,602,621,622,623,659,667,698,701,755,832,855,863,883,953,957,978,984
0.0010442775839825955,34,46,87,90,115,132,202,210,234,235,275,280,389,410,426,438,440,470,472,488,626,627,689,747,784,805,913,928,939,955
0.002979519918454778,1,8,49,76,136,162,164,177,323,329,334,446,460,501,516,527,585,590,653,661,696,732,740,752,761,762,782,837,894,895
0.009343084741576878,5,83,94,98,129,153,158,164,169,219,267,277,351,376,379,395,404,407,474,602,659,674,701,727,740,755,847,855,943,957
0.00119485721703696,8,12,49,63,83,94,98,169,219,275,292,318,345,363,389,404,410,440,466,474,482,537,720,740,761,785,869,880,883,992
0.0017529905393662965,63,129,137,144,164,213,241,254,291,358,401,415,447,448,501,516,590,653,657,701,717,725,727,732,749,814,869,880,945,953
0.007660863400781385,8,33,83,120,129,164,166,177,208,329,334,341,349,426,432,457,474,527,548,594,643,701,715,740,762,840,852,854,855,894
0.006700148075014262,5,12,63,90,110,117,135,153,202,267,269,482,563,576,626,659,677,686,694,713,730,805,869,880,883,926,928,932,955,992
0.006489121529264658,5,8,49,83,90,94,135,146,153,160,169,202,337,406,474,482,496,564,626,659,677,686,694,713,730,740,761,802,855,992
0.008207319320938187,34,46,186,213,267,291,395,401,415,436,447,467,516,521,575,631,674,686,694,713,717,725,727,732,736,739,747,749,814,953
0.0035854712424076207,43,90,119,153,168,169,190,202,224,236,456,530,565,568,598,615,621,622,623,624,626,627,667,730,786,823,832,883,918,928
0.0023833310858261776,76,87,103,169,224,264,351,404,407,438,466,562,564,566,659,661,703,720,782,785,786,847,853,859,873,879,908,914,945,949
0.0008148131127820059,1,115,164,169,179,199,208,269,327,472,558,563,564,576,585,590,594,653,659,744,752,762,784,792,805,854,877,926,932,955
0.0013847815261233518,43,136,166,213,370,376,436,447,456,457,467,501,521,527,615,624,684,725,742,749,750,823,852,908,919,943,945,966,987,994
0.0012807562473766498,63,169,170,179,196,208,298,300,324,356,357,358,381,398,431,451,576,594,632,665,760,854,869,879,880,883,926,933,974,978
3.2076662852738866e-05,5,9,43,90,92,94,98,110,117,153,186,202,224,264,555,626,659,675,690,694,703,713,730,775,786,791,795,814,861,967
0.006614127804736495,49,90,132,162,202,275,291,292,318,323,345,363,389,410,440,446,501,555,626,627,657,689,696,730,761,837,895,928,939,953
0.002747773614000064,34,46,184,186,298,332,381,424,434,456,553,559,575,615,631,684,736,739,742,747,775,791,795,798,806,842,859,873,879,978
0.004560313107187085,13,90,99,132,196,235,275,292,356,363,376,388,389,406,410,431,440,451,542,576,626,627,659,689,760,828,837,883,928,939
0.008500822316036846,76,100,119,168,169,234,235,236,275,292,363,389,393,410,440,460,466,530,532,537,659,661,720,724,782,785,829,832,863,918
0.010268874264110472,8,54,83,85,129,130,169,340,342,349,474,535,540,562,643,659,663,698,701,708,740,751,825,855,948,949,958,963,994,996
0.0010287260715666374,19,39,130,186,203,248,291,351,358,393,401,409,532,537,562,564,602,659,697,744,755,863,880,919,925,948,949,957,966,987
0.001031843045127013,13,99,100,164,169,179,208,223,234,235,275,292,388,389,406,410,424,440,470,542,594,627,717,724,742,828,854,883,928,980
